sinhala,english,transliteration,pos,example_si,example_en
මම කියන්නේ ඔයාට විහිළු කරන්න ඕන දේ කරන්න ඔයා විතරයි කියලා,i say do what you wanna do funny you re the only one,mama kiyanne oyata wihilu karanna ona de karanna oya witharayi kiyala,,,
ඇයි ඔයා මෙහෙම කරන්නේ මම ඔයාට කිව්වා,why re you doing this i told you,eyi oya mehema karanne mama oyata kiwwa,,,
මම මැරුණත් ඔයාට කමක් නැහැ මම මැරෙනවා,you don t care if i diesure i do,mama merunath oyata kamak nehe mama merenawa,,,
මම ඔයාට කිව්වා මම මැරුණත් කමක් නැහැ කියලා,i told youyou don t care if i die,mama oyata kiwwa mama merunath kamak nehe kiyala,,,
නෑ ඔයා හිටියේ ඇයි කියලා ඇහුවේ,no you weren tthen why d you ask,ne oya hitiye eyi kiyala ehuwe,,,
එහෙනම් ඇයි බොරු කියන්නේ කියලා ඇහුවේ,then why d you ask why d you lie,ehenam eyi boru kiyanne kiyala ehuwe,,,
මම මේ දේ කරන්න ඕනේ,i should do this do what,mama me de karanna one,,,
සංගීත කණ්ඩායමක් පටන් ගන්න තාත්තා ඒක අනුමත කරන්නේ නැහැ,start a band my father wouldn t approve of that that,sangeetha kandayamak patan ganna thaththa eka anumatha karanne nehe,,,
අවසර ඉල්ලන ආකාරයේ ඔබ මට පහර නොදෙන බව මගේ පියා අනුමත නොකරනු ඇත,my father wouldn t approve of that thatyou don t strike me as the type that would ask permission,awasara illana akaraye oba mata pahara nodena bawa mage piya anumatha nokaranu etha,,,
ඔයා මොකද මෙතන කරන්නේ මට ඇහුනා කවි කියවනවා කියලා,what are you doing here i heard there was a poetry reading,oya mokada methana karanne mata ehuna kawi kiyawanawa kiyala,,,
ඔබ එසේ කියවන කවියක් ඇති බව මට ආරංචි විය,i heard there was a poetry reading you re so,oba ese kiyawana kawiyak ethi bawa mata aranchi wiya,,,
සෞඛ්ය සම්පන්න අකමැති,wholesome unwelcome,sampanna akamethi,,,
ඔබ හරිම ප්රසන්නයි,you re so pleasant,oba harima prasannayi,,,
එසේනම් මගේ upchuck reflex කිසිවකට හැර මා වෙනත් බලපෑමක් ඇති කළේ නැත,so what did i have an effect on other than my upchuck reflex nothing,esenam mage kisiwakata hera ma wenath balapemak ethi kale netha,,,
c mon ඒක එච්චර නරක නැහැ මේ කෝණයෙන් බලන්න උත්සාහ කරන්න,c mon it s not that badtry lookin at it from this angle,eka echchara naraka nehe me konayen balanna uthsaha karanna,,,
"ඔබේ දකුණු පාදය එහි තබන්න, එය අමතක කරන්න මම නැවතී සිටිමි",put your right foot there forget it i m stayin,obe dakunu padaya ehi thabanna eya amathaka karanna mama newathee sitimi,,,
හොඳ ඇමතුමක් ඉතින් කොහොමද චැපින්ව අනිත් පැත්ත බලන්නේ,good call so how d you get chapin to look the other way,honda emathumak ithin kohomada anith peththa balanne,,,
ඉතින් ඔබ අප කරන ආකාරයට ක්රියා කිරීම ගැන සමාවට?,so what s your excuse acting the way we do,ithin oba apa karana akarayata kriya kireema gena samawata,,,
ඒ වගේ දෙයක් එතකොට ඔයා කෙලෙව්වා,something like thatthen you screwed up,e wage deyak ethakota oya,,,
ඔබ ඒ සඳහා සූදානම්,you up for it for,oba e sandaha sudanam,,,
රාජ්ය භටයින්ගේ මිත්යාව,state trooper fallacy,rajya bhatayinge,,,
වැරදි තාරාවා,fallacy the duck,weradi tharawa,,,
තාරාවාගේ ආරංචිය,the duck hearsay,tharawage aranchiya,,,
අසභ්ය වෘත්තිය බොරුවක් බව මම දනිමි,hearsay i know the porn career s a lie,asabhya wththiya boruwak bawa mama danimi,,,
මට ඇත්ත දෙයක් කියන්න මම කඩල වලට වෛර කරනවා,tell me something true i hate peas,mata eththa deyak kiyanna mama kadala walata waira karanawa,,,
මම කඩල වලට වෛර කරනවා වෙන කවුරුත් නොදන්නා ඇත්ත දෙයක්,i hate peas no something real something no one else knows,mama kadala walata waira karanawa wena kawuruth nodanna eththa deyak,,,
නෑ නෑ මම ඔයා එක්ක යන්නෙ නෑ,no what no i won t go with you,ne ne mama oya ekka yanne ne,,,
එය ඉල්ලීමක් හෝ මා අදහස් කරන දේ ඔබ දන්නා විධානයකි,is that a request or a command you know what i mean,eya illeemak ho ma adahas karana de oba danna widhanayaki,,,
නෑ මම ඔයා එක්ක යන්නෙ නෑ ඇයි නැත්තෙ,no i won t go with youwhy not,ne mama oya ekka yanne ne eyi neththe,,,
ඇයි නැත්තේ මට ඕන නැති නිසා ඒක මෝඩ සම්ප්රදායක්,why not because i don t want to it s a stupid tradition,eyi neththe mata ona nethi nisa eka moda sampradayak,,,
ඔබ මට කියනවා ඔබට ප්රතිකාර අවශ්ය බව කිසිවකු ඔබට පවසා තිබේද?,you tell me you need therapy has anyone ever told you that,oba mata kiyanawa obata prathikara awashya bawa kisiwaku obata pawasa thibeda,,,
ඒක හරිද ඔව් එත් පස්සේ මට කෙලවුනා මම ඒකිට වැටුනා,is that right yeah but then i fucked up i fell for her,eka harida ow eth passe mata mama ekita wetuna,,,
"දෙමාපියෙකු ලෙස එය මගේ අයිතියයි, මට අවශ්ය දේ වැදගත් නොවේ",as a parent that s my rightso what i want doesn t matter,demapiyeku lesa eya mage ayithiyayi mata awashya de wedagath nowe,,,
නෑ තාත්තේ ඉතින් මට කියන්න මේ නර්තනය විනෝදජනකයි කියලා,no daddy so tell me about this dance was it fun,ne thaththe ithin mata kiyanna me narthanaya winodajanakayi kiyala,,,
ඉතින් මට කියන්න මේ නර්තනය එහි විනෝදජනක කොටස් විය,so tell me about this dance was it fun parts of it,ithin mata kiyanna me narthanaya ehi winodajanaka kotas wiya,,,
එහි කොටස් කුමන කොටස්,parts of it which parts,ehi kotas kumana kotas,,,
බියන්කා සමහර පිරිමි ළමයෙකුට පහර දුන් කොටස කුමක්ද?,which parts the part where bianca beat the hell out of some guy,biyanka samahara pirimi lamayekuta pahara dun kotasa kumakda,,,
බියන්කා කළේ මම ඇයව අතෑරපු නිසා කලබල වූ දෙයයි,bianca did what what s the matter upset that i rubbed off on her,biyanka kale mama eyawa nisa kalabala wu deyayi,,,
Bianca සමහර කොල්ලෙක්ව මගුලට ගහපු කොටස Bianca කරපු දේ,the part where bianca beat the hell out of some guy bianca did what,samahara kollekwa magulata gahapu kotasa karapu de,,,
නියම පින්තූර ඔබ රසිකයෙක් ඔව් මම හිතන්නේ,cool pictures you a fan yeah i guess,niyama pinthura oba rasikayek ow mama hithanne,,,
ඔබ සිතන්නේ ඔව්,you think oh yeah,oba sithanne ow,,,
ඔයා මට කියනවද මම දැනට දුම් නොබොන කෙනෙක් කියලා,are you telling me i m a non smoker just for now,oya mata kiyanawada mama denata dum nobona kenek kiyala,,,
මට ඔයාව මගහැරුණා,i missed you it says here you exposed yourself to a group of freshmen girls,mata oyawa,,,
ඔබ හරි ඇය තවමත් කෝපයෙන් මිහිරි ආදරය ඔබේ බලය අලුත් කරයි,you were right she s still pissed sweet love renew thy force,oba hari eya thawamath kopayen mihiri adaraya obe balaya aluth karayi,,,
එහි සඳහන් වන්නේ ඔබ නවක ගැහැණු ළමයින් පිරිසකට ඔබව නිරාවරණය කළ බවයි,it says here you exposed yourself to a group of freshmen girls it was a bratwurst i was eating lunch,ehi sandahan wanne oba nawaka gehenu lamayin pirisakata obawa nirawaranaya kala bawayi,,,
මම ඔබේ සිපර් දත් සමඟ දිවා ආහාරය ගනිමින් සිටියෙමි,it was a bratwurst i was eating lunch with the teeth of your zipper,mama obe dath samanga diwa aharaya ganimin sitiyemi,,,
ඔබ සම්පූර්ණයෙන්ම මන්දබුද්ධිකයි ලබන සතියේ හමුවෙමු,you re completely demented see you next week,oba sampurnayenma labana sathiye hamuwemu,,,
මයික්රෝවේව් උදුනේ අද ඕනෑම කෙනෙක් අඬන්න,in the microwave make anyone cry today,udune ada onema kenek andanna,,,
tumescent ඔබ උදව් කරන්නේ නැහැ,tumescent you re not helping,oba udaw karanne nehe,,,
"හොඳ කාලයක් ගත කරන්න පැටියෝ, නමුත් කවුද?",have a great time honey but who what,honda kalayak gatha karanna petiyo namuth kawuda,,,
මොකද වුනේ ඔයාගේ දුවලා ප්රොම් එකට ගියා,what just happened your daughters went to the prom,mokada wune oyage duwala ekata giya,,,
මට ඒ ගැන කීමට කිසිවක් තිබුණේද නැත,did i have anything to say about it absolutely not,mata e gena keemata kisiwak thibuneda netha,,,
මම හිතුවේ ඒක නෙවෙයි,absolutely not that s what i thought,mama hithuwe eka neweyi,,,
මෙයා යකාගේ දරුවෙක් අපි හැමෝම පිස්සෙක් වෙයි,he s the devil s child we ll all go crazy,meya yakage daruwek api hemoma pissek weyi,,,
"ඔවුන් මා අනුගමනය කිරීමට එකඟ වන්නේ නම්, ඔබේ සහ අන් අයගේ ජීවිතය ඔව්",your life and that of others if they agree to follow me yes,owun ma anugamanaya kireemata ekanga wanne nam obe saha an ayage jeewithaya ow,,,
ඇය කිව්වා ඔව් දෙවියන්ට ස්තූතියි කියලා,she said yes thank god,eya kiwwa ow dewiyanta sthuthiyi kiyala,,,
බාර්ටොලෝම් සහ ජියාකොමෝ කොලන් කාගෙන්දැයි මම අසමි,may i ask by whom bartolome and giacomo colon,saha kolan mama asami,,,
don alonso de bobadilla ඔව් මට මතකයි,don alonso de bobadilla yes i remember,ow mata mathakayi,,,
මගේ පත්වීම් ලිපි කුමක් සඳහා,my letters of appointment appointment to what,mage pathweem lipi kumak sandaha,,,
බටහිර ඉන්දීය කොදෙව්වේ වයිස්රෝයිට පත්වීම,appointment to what viceroy of the west indies,batahira indeeya kodewwe pathweema,,,
මට ඔයා එක්ක යන්න ඕන වෙලාවක් එයි,i want to go with you there ll be a time,mata oya ekka yanna ona welawak eyi,,,
මට මේ වතාවේ මා සමඟ ප්රධාන භූමිය ගවේෂණය කිරීමට සිදුවේ,i have to explore the mainland this time with me,mata me wathawe ma samanga pradhana bhumiya gaweshanaya kireemata siduwe,,,
ප්රනාන්දු නරක නැහැ ඔබට දැනෙන්නේ කොහොමද?,how are you feeling fernando not bad,pranandu naraka nehe obata denenne kohomada,,,
පියා ඒ අනෙක් සාගරයට මාර්ගයක් තිබිය යුතුය,father there must be a passage to that other ocean,piya e anek sagarayata margayak thibiya yuthuya,,,
මම කේවල් කරන්නේ නැහැ එවිට ඔබ අධිෂ්ඨානශීලීයි,i m not bargaining then you are too ambitious,mama kewal karanne nehe ewita oba,,,
මට කරන්න තියෙන්නේ මුරකරුවන්ට කතා කිරීම පමණයි,all i have to do is call the guards call them,mata karanna thiyenne murakaruwanta katha kireema pamanayi,,,
ඔබ දකින්නේ වහල කුළුණු මාලිගා කුළුණු,what do you see roofs towers palaces spires,oba dakinne wahala kulunu maliga kulunu,,,
එය දූපතක් දුරින් පිහිටි ගෝත්රයක් යනු කුමක්ද?,what is it a tribe an island island far,eya dupathak durin pihiti gothrayak yanu kumakda,,,
ප්රධානියා කී දාහක් කියනවා,chief says how many thousands,pradhaniya kee dahak kiyanawa,,,
ඒ වගේම බෙහෙත් ලොක්කා ගේන්න කියනවා,and also to bring medicine chief says,e wagema beheth lokka genna kiyanawa,,,
ඔහුට තේරෙනවා ඔහු උදව් කරන්නේ දැයි විමසන්න,he understands ask him if he will help,ohuta therenawa ohu udaw karanne deyi wimasanna,,,
දෙයියනේ සතියකින් එහෙමයි කියන්නේ,god that s in a week that s what it says,deyiyane sathiyakin ehemayi kiyanne,,,
ඔබ එය කළමනාකරණය කළේ කෙසේද යන්න එහි සඳහන් වේ,that s what it says how did you manage it,oba eya kalamanakaranaya kale keseda yanna ehi sandahan we,,,
toscanelli marin de tyr esdras esdras ගේ ගණනය කිරීම් යුදෙව්වෙකි,the calculations of toscanelli marin de tyr esdras esdras is a jew,ge gananaya kireem yudewweki,,,
"එස්ඩ්රාස් යුදෙව්වෙකි, ක්රිස්තුස්ද එසේමය",esdras is a jew so was christ,yudewweki esemaya,,,
"දෙවියන් වහන්සේ ඔබ යන්නට අදහස් කරන්නේ නම්, ඔබ යන්නේ අපාය දෙවියනේ",if god intends you to go then you will go damn god,dewiyan wahanse oba yannata adahas karanne nam oba yanne apaya dewiyane,,,
ඔක්කොම බොරු කියන්නේ මහ බඩවැල ඩොන් ටී,all of them just lies colon don t,okkoma boru kiyanne maha badawela don tee,,,
මම කීවට වඩා ගමන දිගු වේවි කියලා මම බොරු කිව්වා,i lied the journey will be longer than i said how long,mama keewata wada gamana digu wewi kiyala mama boru kiwwa,,,
එය දුර මෙන් දෙගුණයක් විය හැකි බව මට විශ්වාස නැත,how long i am not sure it could be twice the distance,eya dura men degunayak wiya heki bawa mata wishwasa netha,,,
ඔබ මට සමාව දෙනු ඇතැයි මම විශ්වාස කළෙමි,i believed in you give me absolution,oba mata samawa denu etheyi mama wishwasa kalemi,,,
"මට එකඟ නොවිය යුතුයි, ඔබ එසේ කරන බව මම දැන සිටියෙමි",i have to disagree i knew you would,mata ekanga nowiya yuthuyi oba ese karana bawa mama dena sitiyemi,,,
අලුත් ලෝක අලුත් මිනිස්සු හදනවා ඉතින් ඔබ අලුත් මිනිසෙක්,new worlds create new people oh so you are a new man,aluth loka aluth minissu hadanawa ithin oba aluth minisek,,,
සාගරය තරණය කළ නොහැකියි අද ග්රැනඩා ගැන ඔවුන් පෙර කී දේ,the ocean is uncrossable what did they say about granada before today,sagaraya tharanaya kala nohekiyi ada grenada gena owun pera kee de,,,
ග්රැනඩා ගැන අදට කලින් මොනවද කිව්වේ ඇය අපරාජිතයි කියලා,what did they say about granada before today that she was impregnable,grenada gena adata kalin monawada kiwwe eya kiyala,,,
මහරජතුමනි ඔබට සහ ඔබේ වයස අවුරුදු තිස් හතයි,how old are you senor colon thirty seven your majesty and you,maharajathumani obata saha obe wayasa awurudu this hathayi,,,
ඔබ විසි අට කියවන්නේ කුමක්ද?,what do you read twenty eight,oba wisi ata kiyawanne kumakda,,,
මට මේ මිනිසා වහාම හමුවිය හැක්කේ කොතැනින්ද?,where can i meet this man immediately,mata me minisa wahama hamuwiya hekke kotheninda,,,
දවස් හයකට කලින් ඔව් ඔයාට පිස්සු වෙන්න ඇති,six days ago yes you must be mad,dawas hayakata kalin ow oyata pissu wenna ethi,,,
ඔයා හිතන්නේ අපි නැතිවෙලා කියලා මම දන්නේ නැහැ කියලා,you think i don t know that we re lost,oya hithanne api nethiwela kiyala mama danne nehe kiyala,,,
"අපට ඉඩම නැති වී ඇත, මම එය දනිමි",we re lost the land is there i know it,apata idama nethi wee etha mama eya danimi,,,
ඔයා කවදාවත් කතා කලේ නෑ ඔයා අපි දෙන්නටම ඔයාව ලේ වගේ මතකයි කියලා,you never did you did all the talking for both of us remember you bloody,oya kawadawath katha kale ne oya api dennatama oyawa le wage mathakayi kiyala,,,
මම දන්නවා ඔහුගේ නොසැලකිලිමත්කම මම නොඉවසිය යුත්තේ ඇයි?,i know i should not tolerate his impertinence then why,mama dannawa ohuge noselakilimathkama mama noiwasiya yuththe eyi,,,
එහෙනම් ඇයි එයා මට බය නැති නිසා,then why because he is not afraid of me,ehenam eyi eya mata baya nethi nisa,,,
